timestamp, anchor_1, anchor_2, anchor_3, anchor_4, position_x, position_y, position_z,df,target_x,target_y,difference_x,difference_y,difference_x,,difference_y,,,,in mm
119735,3016,4290,5078,6062,1187,2671,858,75,1250,0,63,0,63,1250,43,4500,,Average_x,-80.29813665
119936,3044,4271,5082,6089,1218,2671,798,76,1250,0,32,0,32,1250,17,4500,,Median_x,-51
120137,3077,4290,5153,6057,1232,2661,690,72,1250,0,18,0,18,1250,19,4500,,Standard_dev_x,91.59843371
120338,3063,4253,5096,6075,1258,2661,687,76,1250,0,-8,0,-8,1250,43,4500,,RMSE_x,121.597493
120539,3101,4281,5106,6048,1274,2665,677,75,1250,0,-24,0,-24,1250,42,4500,,,
120740,3161,4257,5045,5959,1265,2693,612,78,1250,0,-15,0,-15,1250,41,4500,,Average_y,179.6086957
120941,3175,4337,5017,5992,1292,2727,639,76,1250,0,-42,0,-42,1250,49,4500,,Median_x,129.5
121142,3245,4398,4914,5851,1302,2783,684,77,1250,0,-52,0,-52,1250,48,4500,,Standard_dev_x,162.9982058
121343,3330,4454,4792,5757,1296,2858,745,80,1250,0,-46,0,-46,1250,55,4500,,RMSE_y,242.1470089
121544,3414,4520,4722,5677,1300,2941,744,80,1250,0,-50,0,-50,1250,67,4500,,,
121745,3442,4623,4689,5687,1271,3011,698,77,1250,0,-21,0,-21,1250,69,4500,,,
121946,3503,4595,4665,5588,1271,3068,713,79,1250,0,-21,0,-21,1250,66,4500,,,
122147,3555,4633,4543,5537,1279,3128,730,83,1250,0,-29,0,-29,1250,42,4500,,,
122348,3583,4698,4483,5457,1263,3194,705,82,1250,0,-13,0,-13,1250,38,4500,,,
122549,3639,4417,4656,5452,1229,3223,737,79,1250,0,21,0,21,1250,84,4500,,,
122750,3668,4445,4731,5410,1229,3277,722,82,1250,0,21,0,21,1250,-15,4500,,,
122951,3743,4361,4717,5405,1177,3282,695,79,1250,0,73,0,73,1250,-6,4500,,,
123152,3832,4267,4783,5317,1198,3346,701,80,1250,0,52,0,52,1250,-32,4500,,,
123353,3911,4248,4853,5223,1275,3447,737,86,1250,0,-25,0,-25,1250,-38,4500,,,
123554,3995,4202,4830,5157,1330,3528,733,89,1250,0,-80,0,-80,1250,-115,4500,,,
123755,4075,4117,4909,5087,1370,3614,763,89,1250,0,-120,0,-120,1250,-90,4500,,,
123956,4094,4080,4942,5134,1283,3644,726,81,1250,0,-33,0,-33,1250,-104,4500,,,
124157,4150,4005,5082,5096,1235,3687,737,80,1250,0,15,0,15,1250,-71,4500,,,
124358,4216,3902,5101,5059,1188,3757,651,79,1250,0,62,0,62,1250,-129,4500,,,
124559,4290,4979,5124,5059,1233,3820,500,79,1250,0,17,0,17,1250,-205,4500,,,
124760,3822,4267,4933,5218,1220,3871,550,83,1250,0,30,0,30,1250,-120,4500,,,
124961,3776,4379,4923,5260,1198,3961,550,78,1250,0,52,0,52,1250,-141,4500,,,
125162,3686,4534,4834,5317,1200,4066,496,75,1250,0,50,0,50,1250,-134,4500,,,
125363,3654,4534,4745,5354,1212,4146,501,79,1250,0,38,0,38,1250,-55,4500,,,
125564,3602,4595,4755,5372,1203,4211,473,76,1250,0,47,0,47,1250,-101,4500,,,
125765,3588,4684,4689,5480,1246,4273,466,79,1250,0,4,0,4,1250,-30,4500,,,
125966,3555,4703,4609,5485,1279,4324,470,78,1250,0,-29,0,-29,1250,75,4500,,,
126167,3461,4604,4759,5480,1291,4386,477,76,1250,0,-41,0,-41,1250,401,2500,,,
126368,3503,4529,4816,5471,1317,4436,432,76,1250,0,-67,0,-67,1250,399,2500,,,
126569,3518,4473,4825,5424,1356,4457,428,78,0,4500,0,43,-11,3250,388,2500,,,
126770,3513,4459,4876,5354,1389,4483,393,77,0,4500,0,17,-55,3250,407,2500,,,
126971,3574,4450,4820,5335,1430,4481,415,79,0,4500,0,19,-148,3250,421,2500,,,
127172,3639,4257,4792,5260,1558,4457,553,88,0,4500,0,43,-138,3250,423,2500,,,
127373,3630,4202,4886,5326,1641,4458,625,86,0,4500,0,42,-182,3250,403,2500,,,
127574,3672,4239,4914,5349,1700,4459,594,84,0,4500,0,41,-181,3250,418,2500,,,
127775,3691,4234,4834,5326,1734,4451,584,87,0,4500,0,49,-166,3250,412,2500,,,
127976,3766,4248,4933,5265,1793,4452,490,83,0,4500,0,48,-196,3250,362,2500,,,
128177,3761,4225,4952,5096,1816,4445,469,83,0,4500,0,55,-208,3250,364,2500,,,
128378,3804,4080,4966,5190,1907,4433,548,88,0,4500,0,67,-225,3250,369,2500,,,
128579,3780,4075,4905,5401,1946,4431,589,91,0,4500,0,69,-238,3250,378,2500,,,
128780,3813,4028,4979,5195,1988,4434,600,89,0,4500,0,66,-225,3250,389,2500,,,
128981,3850,4019,5003,5289,2024,4458,516,80,0,4500,0,42,-186,3250,388,2500,,,
129182,3869,4066,5092,5045,2074,4462,483,84,0,4500,0,38,-188,3250,378,2500,,,
129383,3972,3991,5063,4970,2100,4416,539,94,0,4500,0,84,-199,3250,372,2500,,,
129584,4014,4000,5139,5326,2205,4515,244,76,0,4500,0,-15,-225,3250,322,2500,,,
129785,4033,3981,5190,5143,2244,4506,220,83,0,4500,0,-6,-248,3250,276,2500,,,
129986,3850,4075,5200,5195,2332,4532,193,79,0,4500,0,-32,-250,3250,275,2500,,,
130187,3808,4099,5078,5237,2396,4538,223,83,0,4500,0,-38,-242,3250,309,2500,,,
130388,3851,4141,5372,5204,2455,4615,56,70,0,4500,0,-115,-231,3250,310,2500,,,
130589,3776,4113,5419,5204,2490,4590,148,82,0,4500,0,-90,-264,3250,348,2500,,,
130790,3747,4164,5148,5279,2554,4604,115,77,0,4500,0,-104,-253,3250,353,2500,,,
130991,3682,4220,5031,5405,2614,4571,207,80,0,4500,0,-71,-298,3250,379,2500,,,
131192,3691,4328,5289,5372,2706,4629,66,66,0,4500,0,-129,-292,3250,358,2500,,,
131393,3668,4370,5410,5490,2767,4705,-87,60,0,4500,0,-205,-295,3250,386,2500,,,
131594,3654,4403,4858,5485,2839,4620,49,79,0,4500,0,-120,-258,3250,382,2500,,,
131795,3546,4440,5110,5490,2918,4641,30,69,0,4500,0,-141,-251,3250,255,2500,,,
131996,3522,4384,5068,5602,2960,4634,97,77,0,4500,0,-134,-167,3250,151,2500,,,
132197,3527,4426,4726,5598,3011,4555,322,84,0,4500,0,-55,-138,3250,112,4500,,,
132398,3564,4548,5167,5682,3061,4601,164,63,0,4500,0,-101,-123,3250,112,4500,,,
132599,3503,4581,4642,5612,3135,4530,317,81,0,4500,0,-30,-70,3250,89,4500,,,
132800,3550,4670,4454,5734,3205,4425,631,85,0,4500,0,75,-50,3250,88,4500,,,
133001,3696,4825,4342,5537,3261,4306,690,83,3250,0,-11,0,-5,3250,95,4500,,,
133202,3733,4253,4895,5560,3305,4198,749,84,3250,0,-55,0,-204,1250,80,4500,,,
133403,3747,4220,4876,5447,3398,4156,807,78,3250,0,-148,0,-154,1250,92,4500,,,
133604,3818,4202,4947,5405,3388,4083,766,84,3250,0,-138,0,-115,1250,93,4500,,,
133805,3869,4117,4970,5340,3432,4039,729,79,3250,0,-182,0,-46,1250,97,4500,,,
134006,3958,4108,5106,5223,3431,3967,670,81,3250,0,-181,0,-23,1250,97,4500,,,
134207,3962,4089,5120,5317,3416,3904,633,81,3250,0,-166,0,20,1250,100,4500,,,
134408,3944,4038,5171,5242,3446,3863,629,81,3250,0,-196,0,14,1250,101,4500,,,
134609,4023,3944,5190,5204,3458,3807,662,81,3250,0,-208,0,34,1250,106,4500,,,
