timestamp, anchor_1, anchor_2, anchor_3, anchor_4, position_x, position_y, position_z,df,foo
628714,3203,4229,5078,5992,1310,2692,722,78,
628915,3227,4351,4984,6071,1330,2743,686,77,
629116,3227,4276,5021,5954,1360,2760,698,78,
629317,3241,4318,5012,6024,1368,2778,643,77,
629518,3170,4267,5035,6071,1364,2760,645,78,
629719,3283,4286,5021,5992,1376,2771,601,78,
629920,3269,4346,4998,5898,1377,2790,580,76,
630121,3377,4361,4909,5841,1386,2841,597,79,
630322,3489,4515,4769,5752,1374,2924,579,79,
630523,3564,4558,4628,5621,1376,3030,607,83,
630724,3686,4656,4562,5551,1369,3135,584,81,
630925,3761,4764,4468,5457,1351,3240,550,81,
631126,3906,4318,4886,5260,1328,3354,500,81,
631327,4028,4216,4881,5256,1357,3473,517,86,
631528,4117,4131,4974,5073,1369,3594,547,83,
631729,4211,3962,5082,5063,1290,3721,490,79,
631930,3897,4295,5003,5134,1240,3831,434,78,
632131,3776,4431,4942,5317,1209,3946,405,75,
632332,3658,4553,4886,5246,1178,4000,474,81,
632533,3621,4647,4694,5298,1220,4138,407,76,
632734,3597,4759,4520,5303,1288,4256,408,79,
632935,3569,4872,4375,5326,1389,4346,434,80,
633136,3602,4379,4895,5279,1464,4413,421,79,
633337,3668,4300,4947,5279,1554,4451,396,80,
633538,3696,4220,4900,5120,1656,4445,454,85,
633739,3715,4220,5214,5110,1740,4474,449,73,
633940,3790,4220,5303,4998,1806,4389,562,88,
634141,3883,4122,5190,4961,1903,4482,325,77,
634342,3925,4122,5275,4844,1979,4416,361,90,
634543,4019,3995,5228,4895,2098,4408,436,94,
634744,4038,4005,5260,4787,2176,4391,548,98,
634945,4117,3906,5307,4778,2291,4346,713,95,
635146,3822,4122,4787,5335,2393,4331,817,94,
635347,3771,4220,4680,5419,2491,4310,940,94,
635548,3771,4267,4712,5588,2582,4300,900,91,
635749,3719,4379,4595,5588,2683,4278,948,91,
635950,3654,4468,4595,5757,2791,4279,862,87,
636151,3625,4604,4515,5809,2947,4271,863,85,
636352,3672,4642,4487,5640,3041,4246,807,85,
636553,3639,4468,4731,5555,3130,4224,784,82,
636754,3733,4332,4862,5616,3228,4175,717,82,
636955,3799,4229,4937,5518,3260,4101,717,83,
637156,3887,4108,4993,5410,3366,4064,747,78,
637357,4019,4337,5049,5331,3341,4048,429,74,
637558,4099,4131,5167,5260,3365,3938,413,77,
637759,4155,4019,5242,5223,3408,3839,360,76,
637960,4211,3850,5157,5157,3478,3791,446,81,
638161,3851,4271,5129,5275,3493,3692,427,74,
638362,3780,4379,5021,5372,3479,3596,400,74,
638563,3691,4483,4952,5433,3484,3487,374,73,
638764,3536,4558,4858,5480,3483,3377,398,74,
638965,3485,4745,4773,5504,3448,3257,353,70,
639166,3377,4839,4675,5560,3430,3152,349,70,
639367,3255,4952,4539,5673,3422,3074,438,71,
639568,3227,4548,5031,5776,3410,2946,388,68,
639769,3087,4426,5087,5851,3395,2840,402,70,
639970,3007,4346,5106,6038,3377,2763,520,72,
640171,2876,4215,5228,6094,3392,2650,607,72,
640372,2819,4141,5307,6183,3368,2547,614,68,
640573,2744,4248,5368,6132,3353,2463,630,69,
640774,2707,4164,5917,6089,3376,2405,551,69,
640975,2735,3972,5743,6136,3284,2264,471,62,
641176,2758,3902,5644,6071,3202,2206,480,68,
641377,2782,3845,5748,5963,3146,2266,581,74,
641578,2904,3864,5992,5973,3089,2317,682,79,
641779,3054,3771,5635,5902,2997,2308,630,75,
641980,3096,3729,5804,5827,2919,2256,496,67,
642181,3152,3616,5940,5766,2836,2224,359,68,
642382,3264,3569,5799,5785,2729,2242,452,86,
642583,3316,3405,5701,5729,2542,2275,493,85,
642784,3377,3363,5884,5659,2430,2298,540,88,
642985,3419,3349,5935,5560,2334,2348,687,91,
643186,3475,3255,6089,5584,2236,2370,766,87,
643387,3189,3579,5598,6085,2138,2369,733,82,
643588,3124,3654,5551,6108,2022,2366,718,81,
643789,3068,3776,5457,6193,1907,2377,717,80,
643990,2993,3851,5424,6216,1786,2375,702,78,
644191,2960,3939,5518,6258,1673,2361,638,71,
644392,2937,4038,5424,6211,1572,2367,616,71,
644593,2908,4141,5377,6277,1451,2376,566,69,
644794,2974,4220,5307,6338,1391,2413,512,69,
644995,2955,4164,5162,6118,1365,2469,639,77,
645196,3077,4220,5120,6024,1350,2540,657,76,
645397,3213,4276,5021,5931,1362,2607,597,78,
645598,3353,4033,5049,5710,1487,2690,686,87,
645799,3325,3981,5082,5771,1585,2732,815,87,
646000,3607,3972,5068,5734,1758,2829,781,88,
646201,3546,4061,5045,5565,1802,2864,731,86,
646402,3532,4009,5021,5644,1830,2888,786,89,
646603,3757,4005,4965,5466,1908,2956,799,91,
646804,3827,3944,5003,5443,2013,3006,853,92,
647005,3845,3911,4928,5317,2104,3061,948,97,
647206,3962,3916,4965,5251,2196,3011,622,81,
647407,4019,3887,4933,5096,2196,3007,560,89,
647608,4094,3995,4881,5054,2218,3043,512,84,
647809,4229,3916,4923,4937,2279,3095,487,83,
648010,4099,4318,4886,4797,2371,3174,384,82,
648211,4033,4450,4745,4745,2405,3297,479,90,
648412,4183,4525,4600,4825,2489,3369,401,85,
648613,4056,4656,4525,4745,2640,3468,454,90,
648814,4103,4759,4384,4750,2753,3553,420,88,
649015,4080,4346,4862,4731,2870,3640,486,90,
649216,4169,4220,4881,4717,2914,3715,479,86,
649417,4286,4113,5078,4722,2887,3768,573,90,
649618,3981,4384,4642,5228,2874,3848,646,89,
649819,3878,4464,4595,5303,2907,3936,662,88,
650020,3887,4483,4600,5410,2915,4008,651,87,
650221,3790,4450,4543,5396,3027,4107,731,90,
650422,3724,4454,4642,5532,3061,4133,732,86,
650623,3672,4440,4773,5560,3157,4163,689,81,
650824,3804,4248,4909,5560,3241,4116,678,84,
651025,3991,4075,5068,5424,3285,3994,668,84,
651226,4169,4061,5185,5214,3380,3868,491,75,
651427,4248,3897,5289,5003,3373,3754,449,80,
651628,3850,4295,5007,5265,3386,3661,429,78,
651829,3724,4398,4988,5270,3435,3552,387,75,
652030,3752,4525,4839,5363,3410,3496,410,76,
652231,3621,4567,4717,5401,3351,3399,475,81,
652432,3442,4694,4750,5499,3381,3284,441,73,
652633,3447,4844,4731,5494,3394,3163,356,68,
652834,3358,4909,4651,5569,3391,3060,335,68,
653035,3306,4487,5031,5649,3380,3007,383,70,
653236,3180,4459,5124,5795,3351,2884,348,67,
653437,3058,4342,5167,5893,3354,2778,383,70,
653638,3021,4300,5115,5940,3363,2717,480,74,
653839,2937,4478,5139,6006,3463,2699,526,69,
654040,2885,4192,5228,6075,3412,2629,669,73,
654241,2819,4047,5335,6080,3321,2534,711,74,
654442,2703,4600,5485,6146,3415,2431,630,65,
654643,2684,4262,5982,6202,3450,2420,729,70,
654844,2717,3892,5748,6188,3334,2239,542,64,
655045,2721,3925,5710,6071,3235,2170,515,65,
655246,2810,3851,5841,5954,3164,2251,586,74,
655447,2988,3827,5752,5954,3060,2197,444,66,
655648,2960,3827,5626,5884,2989,2220,448,71,
655849,3054,3771,5720,5874,2911,2221,405,70,
656050,3100,3658,5776,5837,2830,2202,356,72,
656251,3227,3639,5841,5776,2736,2196,283,70,
656452,3283,3583,5766,5748,2640,2217,290,75,
656653,3288,3518,5785,5691,2555,2235,315,77,
656854,3414,3396,5917,5691,2442,2233,297,76,
657055,3428,3311,6015,5668,2327,2288,461,85,
657256,3475,3274,5973,5579,2229,2321,568,87,
657457,3161,3499,5635,6006,2150,2321,616,84,
657658,3119,3616,5630,6075,2051,2314,623,79,
657859,3105,3696,5537,6067,1957,2328,625,80,
658060,3054,3799,5555,6230,1858,2344,604,75,
658261,3007,3859,5462,6249,1758,2360,611,77,
658462,2983,3939,5485,6183,1665,2357,581,73,
658663,2922,4066,5415,6240,1557,2367,591,71,
658864,2899,4103,5382,6338,1453,2379,575,71,
659065,2946,4295,5410,6338,1318,2363,438,58,
659266,2946,4351,5260,6291,1212,2416,398,66,
659467,2960,4188,5204,6211,1261,2461,549,74,
659668,3035,4314,5115,6141,1250,2535,597,73,
659869,3250,4271,5115,6006,1306,2636,606,75,
660070,3372,4127,5040,5832,1423,2716,655,83,
660271,3804,3995,5049,5804,1626,2810,730,88,
660472,3499,3977,5106,5748,1732,2820,790,86,
660673,3611,4033,5031,5710,1805,2849,749,87,
660874,3503,4056,4966,5588,1824,2890,799,89,
661075,3639,3930,4979,5644,1894,2935,909,94,
661276,3719,3906,5021,5508,1989,2971,889,93,
661477,3822,3873,5040,5462,2081,3005,880,94,
661678,3878,3883,4998,5303,2143,3042,886,95,
661879,3953,3892,4947,5209,2213,2999,607,83,
662080,3790,4019,5171,4993,2280,2985,455,82,
662281,3925,4075,5078,4881,2334,3093,518,91,
662482,3986,4216,4988,4923,2314,3104,470,81,
662683,4019,4276,4900,4881,2350,3159,415,83,
662884,4038,4370,4797,4830,2437,3227,350,83,
663085,4117,4483,4717,4816,2506,3308,314,82,
663286,4131,4539,4619,4726,2557,3384,296,84,
663487,4131,4614,4506,4816,2626,3452,338,85,
663688,4141,4440,4726,4726,2721,3545,378,83,
663889,4211,4473,4862,4609,2805,3691,517,89,
664090,4206,4304,4844,4684,2846,3733,496,84,
664291,4262,4164,4988,4656,2791,3766,661,94,
664492,4136,4243,4665,5087,2868,3852,702,86,
664693,4056,4304,4609,5204,2909,3907,768,94,
664894,3986,4356,4553,5232,2941,3970,819,94,
665095,3934,4464,4609,5387,2930,4003,736,87,
665296,3799,4454,4567,5387,2955,4049,781,89,
665634,3668,4445,4656,5527,3033,4124,748,86,
665835,3682,4337,4816,5537,3154,4134,714,84,
666036,3846,4271,4905,5602,3220,4076,732,83,
666237,3897,4159,5007,5518,3270,4012,700,83,
666438,3934,4066,5124,5401,3340,3944,655,82,
666639,4075,4108,5237,5176,3372,3882,499,77,
666840,4206,3920,5251,5129,3418,3780,443,76,
667041,3873,4281,5082,5307,3421,3679,435,75,
667242,3818,4375,4961,5312,3414,3593,416,77,
667443,3700,4497,4942,5307,3430,3496,392,73,
667644,3616,4576,4797,5401,3422,3399,403,75,
667845,3579,4670,4830,5504,3413,3300,356,71,
668046,3400,4816,4820,5579,3448,3178,322,66,
668247,3325,4947,4764,5626,3498,3106,330,64,
668448,3227,4998,4637,5691,3494,2977,297,66,
668649,3147,4637,5124,5720,3518,2869,213,63,
668850,3058,4604,5317,5809,3547,2825,328,72,
669051,3007,4483,5387,5898,3530,2677,230,58,
669252,2908,4412,5377,5921,3520,2699,421,70,
669453,2899,4370,5433,5963,3486,2554,336,60,
669654,2904,4202,5673,6076,3426,2401,238,57,
669855,2833,4070,5574,6062,3331,2329,278,65,
670056,2763,3953,5649,6043,3243,2262,359,66,
670257,2871,3916,5466,5874,3160,2295,438,76,
670458,3087,3995,5433,5804,3097,2382,470,73,
670659,3274,4061,5218,5640,3014,2486,488,79,
670860,3330,4080,5260,5598,2958,2550,434,76,
671061,3428,4103,5317,5494,2902,2591,339,73,
671262,3438,4084,5289,5466,2863,2634,289,75,
671463,3555,4141,5148,5372,2825,2718,296,78,
671664,3564,4197,5045,5331,2819,2789,328,80,
671865,3611,4150,5092,5185,2785,2837,337,80,
672066,3686,4183,5190,5059,2751,2932,375,89,
672267,3780,4117,5106,5040,2687,3007,403,81,
672468,3911,4113,5026,4933,2529,3040,436,84,
672669,3981,4122,4966,4947,2431,3087,457,86,
672870,4075,4220,5007,4834,2417,3128,342,81,
673071,4127,4206,4965,4806,2392,3172,279,83,
673272,4216,4220,4914,4637,2349,3239,269,84,
673473,4211,4215,4628,4895,2246,3324,520,97,
673674,4234,4234,4567,4942,2149,3360,633,90,
673875,4183,4323,4665,4956,2152,3426,660,91,
674076,4243,4314,4558,4937,2095,3448,722,96,
674277,4253,4337,4534,4886,2133,3524,764,96,
674478,4271,4356,4487,4872,2066,3517,721,88,
674679,4286,4342,4464,4862,1962,3477,705,90,
674880,4281,4356,4454,4876,1973,3494,671,89,
675081,4276,4365,4511,4900,2002,3519,664,92,
675282,4267,4281,4403,4947,1952,3492,754,90,
675483,4220,4286,4543,4909,1877,3450,681,89,
675684,4253,4304,4436,4900,2020,3525,674,93,
675885,4225,4253,4501,4956,2036,3526,669,92,
676086,4197,4318,4468,4891,2030,3520,649,91,
676287,4197,4309,4501,4937,1929,3459,669,90,
676488,4220,4271,4497,4914,2038,3515,703,91,
676689,4215,4309,4506,4886,2014,3498,740,89,
676890,4220,4290,4515,4862,1972,3490,681,90,
677091,4202,4309,4511,4970,1944,3467,726,89,
677292,4215,4361,4562,4820,2033,3512,716,93,
677493,4178,4286,4511,4886,2018,3498,699,90,
677694,4169,4262,4543,4895,2026,3487,680,90,
677895,4220,4309,4497,4886,2007,3484,723,90,
678096,4229,4262,4473,4960,2098,3547,711,93,
678297,4229,4314,4492,4891,2058,3531,700,90,
678498,4229,4351,4501,4923,1943,3480,679,88,
678699,4234,4262,4445,4900,2061,3555,681,94,
678900,4211,4304,4464,4956,2041,3536,650,91,
679101,4225,4304,4497,4905,1932,3467,687,90,
679302,4239,4375,4586,4961,2020,3516,722,92,
679503,4253,4375,4572,4965,2075,3549,755,92,
